geography,geographic_area_name,families_number,families_number_moe,families_percent_distribution,families_percent_distribution_moe,families_median_income,families_median_income_moe
1400000US48029120402,Census Tract 1204.02; Bexar County; Texas,875,119,875,119,"250,000+",***
1400000US48029120502,Census Tract 1205.02; Bexar County; Texas,1100,163,1100,163,46691,11299
1400000US48029120503,Census Tract 1205.03; Bexar County; Texas,827,167,827,167,57852,7941
1400000US48029120504,Census Tract 1205.04; Bexar County; Texas,1496,472,1496,472,70144,8326
1400000US48029120601,Census Tract 1206.01; Bexar County; Texas,554,156,554,156,56818,22437
1400000US48029120602,Census Tract 1206.02; Bexar County; Texas,781,167,781,167,89627,45948
1400000US48029120701,Census Tract 1207.01; Bexar County; Texas,1191,210,1191,210,72068,9594
1400000US48029120702,Census Tract 1207.02; Bexar County; Texas,1123,226,1123,226,167741,56424
1400000US48029120800,Census Tract 1208; Bexar County; Texas,1883,284,1883,284,168090,19522
1400000US48029120901,Census Tract 1209.01; Bexar County; Texas,527,134,527,134,100313,40482
1400000US48029120902,Census Tract 1209.02; Bexar County; Texas,1331,288,1331,288,74575,9739
1400000US48029121000,Census Tract 1210; Bexar County; Texas,1729,272,1729,272,64375,16736
1400000US48029121110,Census Tract 1211.10; Bexar County; Texas,1068,154,1068,154,101544,22981
1400000US48029121111,Census Tract 1211.11; Bexar County; Texas,1957,428,1957,428,79800,9390
1400000US48029121112,Census Tract 1211.12; Bexar County; Texas,1066,177,1066,177,64268,16534
1400000US48029121115,Census Tract 1211.15; Bexar County; Texas,1448,182,1448,182,106563,21234
1400000US48029121116,Census Tract 1211.16; Bexar County; Texas,1124,239,1124,239,121149,14688
1400000US48029121117,Census Tract 1211.17; Bexar County; Texas,1192,198,1192,198,87647,35379
1400000US48029121118,Census Tract 1211.18; Bexar County; Texas,1228,236,1228,236,98947,48134
1400000US48029121119,Census Tract 1211.19; Bexar County; Texas,1351,252,1351,252,90851,20092
1400000US48029121120,Census Tract 1211.20; Bexar County; Texas,1252,217,1252,217,86458,19611
1400000US48029121121,Census Tract 1211.21; Bexar County; Texas,922,142,922,142,130192,20167
1400000US48029121122,Census Tract 1211.22; Bexar County; Texas,1407,146,1407,146,114764,10667
1400000US48029121123,Census Tract 1211.23; Bexar County; Texas,1218,269,1218,269,72750,23959
1400000US48029121124,Census Tract 1211.24; Bexar County; Texas,657,113,657,113,151908,11120
1400000US48029121203,Census Tract 1212.03; Bexar County; Texas,945,168,945,168,46380,13659
1400000US48029121204,Census Tract 1212.04; Bexar County; Texas,1724,316,1724,316,48019,5099
1400000US48029121205,Census Tract 1212.05; Bexar County; Texas,943,179,943,179,46301,9492
1400000US48029121206,Census Tract 1212.06; Bexar County; Texas,1872,253,1872,253,79432,29252
1400000US48029121300,Census Tract 1213; Bexar County; Texas,1533,215,1533,215,102128,21310
1400000US48029121402,Census Tract 1214.02; Bexar County; Texas,2171,388,2171,388,80090,18338
1400000US48029121403,Census Tract 1214.03; Bexar County; Texas,1294,186,1294,186,56338,8875
1400000US48029121404,Census Tract 1214.04; Bexar County; Texas,1155,230,1155,230,47792,13658
1400000US48029121501,Census Tract 1215.01; Bexar County; Texas,2678,495,2678,495,87730,17241
1400000US48029121504,Census Tract 1215.04; Bexar County; Texas,1886,302,1886,302,90066,17501
1400000US48029121505,Census Tract 1215.05; Bexar County; Texas,1294,194,1294,194,89219,22729
1400000US48029121506,Census Tract 1215.06; Bexar County; Texas,1234,164,1234,164,66402,16476
1400000US48029121507,Census Tract 1215.07; Bexar County; Texas,1337,153,1337,153,78897,14472
1400000US48029121508,Census Tract 1215.08; Bexar County; Texas,1073,128,1073,128,53750,8736
